,,NINO1+2,NINO3,NINO4,NINO3.4,ONI,MEI,NINO1+2,NINO3,NINO4,NINO3.4,ONI,MEI
Nicaragua,,0.691386559,0.84061146,0.835642884,0.881962686,0.881639924,0.864508912,-0.290699365,-0.366091388,0.453406117,0.394861703,0.39413116,0.33394734
Saint Vincent and the Grenadines,,0.604263103,0.719632204,0.659097035,0.726827714,0.725509274,0.712024317,-0.448753033,-0.456824071,-0.373090684,-0.44691221,-0.450028016,-0.477019411
Grenada,,0.548792663,0.687540869,0.668428017,0.702885486,0.705693534,0.689184137,-0.439897747,-0.521302981,-0.527272103,-0.544343411,-0.547508405,-0.567712236
Philippines,,0.410114526,0.538360744,0.343141787,0.537454349,0.560230503,0.588148741,-0.543715123,-0.763971328,-0.901634387,-0.859104907,-0.860031171,-0.848679378
Costa Rica,,0.738770903,0.881609427,0.799397466,0.90021176,0.902277229,0.878670177,-0.143518768,0.075434926,0.31130557,0.125093045,0.118569653,0.048877825
Trinidad and Tobago,,0.539481405,0.718080808,0.684868114,0.74776008,0.751209452,0.729232255,-0.36633434,-0.475780996,-0.545176518,-0.531688438,-0.530560575,-0.56018979
Panama,,0.753365308,0.896282158,0.806224689,0.899167845,0.908179005,0.89289036,-0.37635433,-0.395799116,-0.308894184,-0.392201661,-0.420996636,-0.405888613
Venezuela,,0.594161814,0.761409533,0.716906738,0.792958967,0.795973904,0.793818809,-0.257836411,-0.431172897,-0.525777501,-0.518172775,-0.519444552,-0.506642249
Colombia,,0.629312973,0.816735103,0.802288392,0.852282701,0.862234659,0.82105695,0.224063783,0.22789802,-0.468266256,-0.330443695,-0.345372996,-0.397989812
French Guiana,,0.668921887,0.750397507,0.605169822,0.734221044,0.73730905,0.706842131,-0.399219397,-0.580858955,-0.587546411,-0.611082105,-0.618980743,-0.549928277
Suriname,,0.695300085,0.79242718,0.695931762,0.789640003,0.794613807,0.746695352,0.321171713,-0.576035556,-0.665640868,-0.665182733,-0.675263428,-0.616939482
Singapore,,0.745427403,0.808108316,0.607527362,0.76713238,0.776964408,0.775547098,0.568158694,0.57767493,0.415092088,0.578088848,0.565655742,0.629715097
Ecuador,,0.688225654,0.771097946,0.719752803,0.769169111,0.768170983,0.740292724,0.850158871,0.654097357,-0.126749335,0.414514708,0.403433127,0.520353417
Indonesia,,0.796976528,0.816417798,0.611066848,0.756456224,0.764074537,0.780052883,0.429908597,0.353212302,0.091925594,0.245006998,0.230343389,0.247112134
Peru,,0.929909225,0.951956432,0.802548446,0.919851081,0.92312087,0.931090994,0.636278407,-0.122295113,-0.564438157,-0.429384848,-0.436650156,-0.299394609
Brazil,,0.587873104,0.577487448,0.508089707,0.551534652,0.55629044,0.579431701,0.364332278,0.358346878,0.185801131,0.322050886,0.322689074,0.293038129
Bolivia,,0.772512286,0.794488947,0.660178237,0.749966746,0.753592879,0.756356055,-0.446189178,-0.255625683,0.058222444,-0.105267487,-0.108981743,-0.200091003
New Caledonia,,0.54114197,0.427926129,0.227150297,0.331203008,0.325807573,0.352711415,-0.523569872,-0.58153112,-0.620452702,-0.61737831,-0.610354149,-0.607076471
Paraguay,,-0.346454542,-0.206900359,0.09117675,0.148718556,0.140003015,-0.133150322,0.613004436,0.501166788,0.333647468,0.462621061,0.461177732,0.525469456
Uruguay,,-0.335978842,-0.22991598,-0.223951946,-0.21190787,-0.204168596,-0.246817533,0.314816772,0.31252401,0.226231917,0.28307055,0.277318436,0.301929125
