delta_case,ssp,ensemble,enso_change,tele_change
0.337699259,585,MIROC6_r31i1p1f1,0.2144627,0.154437469
0.335241426,585,MIROC6_r13i1p1f1,0.2290963,0.176783627
0.335166544,585,MIROC6_r6i1p1f1,0.2503371,0.127497929
0.333543955,585,CESM2.WACCM_r1i1p1f1,-0.0296788,0.416287107
0.332809306,126,MIROC6_r41i1p1f1,0.2832173,0.054450864
0.332804056,245,MIROC6_r22i1p1f1,0.1491332,0.25938197
0.320406564,245,MIROC.ES2L_r30i1p1f2,0.2612667,0.112162733
0.31388801,370,MIROC6_r38i1p1f1,0.1702018,0.250286385
0.313820503,370,EC.Earth3.Veg.LR_r1i1p1f1,0.07945635,0.294014767
0.309866959,370,MIROC6_r6i1p1f1,0.2229269,0.193591564
0.306437234,370,MPI.ESM1.2.LR_r3i1p1f1,0.09760715,0.243593309
0.30614294,585,MIROC6_r18i1p1f1,0.153288,0.222439754
0.305651493,585,MIROC6_r7i1p1f1,0.2322055,0.12990715
0.302947915,370,MPI.ESM1.2.LR_r30i1p1f1,0.01336443,0.322882552
0.299370839,245,MIROC6_r9i1p1f1,0.2152416,0.115871663
0.296568527,126,MIROC6_r7i1p1f1,0.2425058,0.105708726
0.296540216,370,MIROC6_r22i1p1f1,0.2519376,0.166583905
0.295644778,245,MIROC6_r13i1p1f1,0.2126602,0.140897597
0.290537434,585,MIROC6_r17i1p1f1,0.1808236,0.148126401
0.289000079,245,MIROC.ES2L_r22i1p1f2,0.1833213,0.230603484
0.288772517,245,MPI.ESM1.2.LR_r28i1p1f1,0.1342159,0.159952742
0.287423189,370,MIROC6_r40i1p1f1,0.1565643,0.16652132
0.278208385,585,MIROC6_r5i1p1f1,0.2994023,0.077454198
0.276215355,370,MPI.ESM1.2.LR_r27i1p1f1,0.02132005,0.251533148
0.271560092,126,EC.Earth3.Veg.LR_r1i1p1f1,0.1640163,0.132017821
0.27091474,245,MIROC6_r5i1p1f1,0.2612285,0.06917219
0.266775156,585,MIROC6_r11i1p1f1,0.189817,0.090205149
0.265508178,370,MPI.ESM1.2.LR_r14i1p1f1,0.1307983,0.164059244
0.264937877,585,MIROC6_r30i1p1f1,0.2330397,0.069154407
